Unidad,2019,2018,2017,2016,2015
43156 Ulldecona,9942,9698,9077,8409,8350
4315601 Ulldecona distrito 01,10255,9996,9384,8756,8634
4315601001 Ulldecona sección 01001,10171,9636,9317,8655,8383
4315601002 Ulldecona sección 01002,10319,10280,9436,8834,8835
4315602 Ulldecona distrito 02,9240,9037,8365,7646,7716
4315602001 Ulldecona sección 02001,9240,9037,8365,7646,7716
43157 Ulldemolins,12013,11712,11322,10811,10932
4315701 Ulldemolins distrito 01,12013,11712,11322,10811,10932
4315701001 Ulldemolins sección 01001,12013,11712,11322,10811,10932
17203 Ultramort,13138,12364,12274,11978,9968
1720301 Ultramort distrito 01,13138,12364,12274,11978,9968
1720301001 Ultramort sección 01001,13138,12364,12274,11978,9968
31236 Ultzama,.,.,.,13929,14651
3123601 Ultzama distrito 01,.,.,.,13929,14651
3123601001 Ultzama sección 01001,.,.,.,13929,14651
41094 Umbrete,9127,8627,8170,7932,7778
4109401 Umbrete distrito 01,9213,8793,8197,8033,7902
4109401001 Umbrete sección 01001,10173,9760,9075,.,8921
4109401002 Umbrete sección 01002,8954,8360,7787,.,7118
4109401003 Umbrete sección 01003,8008,7765,7281,.,.
4109402 Umbrete distrito 02,9005,8396,8132,7796,7613
4109402001 Umbrete sección 02001,7797,7557,7386,6994,6709
4109402002 Umbrete sección 02002,8841,8046,7943,7457,7413
4109402003 Umbrete sección 02003,10135,9458,8924,8821,8533
05249 Umbrías,.,.,9441,8211,7001
0524901 Umbrías distrito 01,.,.,9441,8211,7001
0524901001 Umbrías sección 01001,.,.,9441,8211,7001
50267 Uncastillo,12786,12053,11651,11540,11199
5026701 Uncastillo distrito 01,12786,12053,11651,11540,11199
5026701001 Uncastillo sección 01001,12786,12053,11651,11540,11199
31237 Unciti,.,.,.,18799,17476
3123701 Unciti distrito 01,.,.,.,18799,17476
3123701001 Unciti sección 01001,.,.,.,18799,17476
50268 Undués de Lerda,.,.,.,.,.
5026801 Undués de Lerda distrito 01,.,.,.,.,.
5026801001 Undués de Lerda sección 01001,.,.,.,.,.
"47176 Unión de Campos, La",10309,9451,9322,8287,8476
"4717601 Unión de Campos, La distrito 01",10309,9451,9322,8287,8476
"4717601001 Unión de Campos, La sección 01001",10309,9451,9322,8287,8476
"30041 Unión, La",8968,8521,8201,7889,7631
"3004101 Unión, La distrito 01",8951,8510,8230,7958,7613
"3004101001 Unión, La sección 01001",8665,8198,7819,7718,7517
"3004101002 Unión, La sección 01002",8430,8050,7968,7840,7414
"3004101003 Unión, La sección 01003",9596,8860,9206,8903,8589
"3004101004 Unión, La sección 01004",9450,9008,8403,8144,7911
"3004101005 Unión, La sección 01005",8977,8560,8197,7757,7326
"3004101006 Unión, La sección 01006",8499,8318,7685,7296,6843
"3004102 Unión, La distrito 02",7310,6946,6521,6203,5862
"3004102001 Unión, La sección 02001",7310,6946,6521,6203,5862
"3004103 Unión, La distrito 03",10008,9549,9248,8913,8758
"3004103001 Unión, La sección 03001",8966,8325,8157,7765,7519
"3004103002 Unión, La sección 03002",10071,9703,9348,8977,8849
"3004103003 Unión, La sección 03003",10863,10440,10110,9933,9789
"3004104 Unión, La distrito 04",8437,7995,7691,7350,7121
"3004104001 Unión, La sección 04001",7465,7086,6801,6725,6408
"3004104002 Unión, La sección 04002",8681,8205,8077,7814,7550
"3004104003 Unión, La sección 04003",9192,8802,8452,8043,7838
"3004104004 Unión, La sección 04004",8310,7805,7403,6865,6688
"3004106 Unión, La distrito 06",9597,9087,8517,8139,8067
"3004106001 Unión, La sección 06001",9597,9087,8517,8139,8067
31238 Unzué/Untzue,.,.,.,17030,16864
3123801 Unzué/Untzue distrito 01,.,.,.,17030,16864
3123801001 Unzué/Untzue sección 01001,.,.,.,17030,16864
16219 Uña,.,.,.,.,.
1621901 Uña distrito 01,.,.,.,.,.
1621901001 Uña sección 01001,.,.,.,.,.
49225 Uña de Quintana,10058,9687,9521,9545,9412
4922501 Uña de Quintana distrito 01,10058,9687,9521,9545,9412
4922501001 Uña de Quintana sección 01001,10058,9687,9521,9545,9412
09398 Úrbel del Castillo,.,.,.,.,.
0939801 Úrbel del Castillo distrito 01,.,.,.,.,.
0939801001 Úrbel del Castillo sección 01001,.,.,.,.,.
45177 Urda,9186,8879,8349,7788,7537
4517701 Urda distrito 01,8770,8609,8049,7482,7325
4517701001 Urda sección 01001,8770,8609,8049,7482,7325
4517702 Urda distrito 02,9583,9136,8633,8073,7734
4517702001 Urda sección 02001,9583,9136,8633,8073,7734
31239 Urdazubi/Urdax,.,.,.,19949,18757
3123901 Urdazubi/Urdax distrito 01,.,.,.,19949,18757
3123901001 Urdazubi/Urdax sección 01001,.,.,.,19949,18757
31240 Urdiain,.,.,.,14620,13823
3124001 Urdiain distrito 01,.,.,.,14620,13823
3124001001 Urdiain sección 01001,.,.,.,14620,13823
24174 Urdiales del Páramo,11282,10902,10301,10141,10799
2417401 Urdiales del Páramo distrito 01,11282,10902,10301,10141,10799
2417401001 Urdiales del Páramo sección 01001,11282,10902,10301,10141,10799
48089 Urduliz,16096,15217,14656,14584,14153
4808901 Urduliz distrito 01,16096,15217,14656,14584,14153
4808901001 Urduliz sección 01001,15276,14242,13609,14606,14130
4808901002 Urduliz sección 01002,15470,14766,14543,14550,14191
4808901003 Urduliz sección 01003,17875,16786,15913,.,.
48074 Urduña/Orduña,14171,13555,13533,13053,12929
4807401 Urduña/Orduña distrito 01,13481,13163,13146,12475,12259
4807401001 Urduña/Orduña sección 01001,13133,12849,12744,12142,11882
4807401002 Urduña/Orduña sección 01002,13802,13447,13519,12787,12607
4807402 Urduña/Orduña distrito 02,15065,14063,14024,13775,13773
4807402001 Urduña/Orduña sección 02001,15065,14063,14024,13775,13773
01054 Urkabustaiz,14357,13548,13460,13821,13480
0105401 Urkabustaiz distrito 01,.,.,.,.,.
0105401001 Urkabustaiz sección 01001,.,.,.,.,.
20072 Urnieta,14874,14237,13885,13221,.
2007201 Urnieta distrito 01,14874,14237,13885,13221,.
2007201001 Urnieta sección 01001,14540,13608,13978,12898,.
2007201002 Urnieta sección 01002,14139,13504,13086,12444,.
2007201003 Urnieta sección 01003,15182,14816,14106,13640,.
2007201004 Urnieta sección 01004,15317,14520,14188,13576,.
47177 Urones de Castroponce,12777,12067,10745,11313,11042
4717701 Urones de Castroponce distrito 01,12777,12067,10745,11313,11042
4717701001 Urones de Castroponce sección 01001,12777,12067,10745,11313,11042
04096 Urrácal,11367,10806,10093,9771,9281
0409601 Urrácal distrito 01,11367,10806,10093,9771,9281
0409601001 Urrácal sección 01001,11367,10806,10093,9771,9281
31241 Urraul Alto,.,.,.,14977,14247
3124101 Urraul Alto distrito 01,.,.,.,14977,14247
3124101001 Urraul Alto sección 01001,.,.,.,14977,14247
31242 Urraul Bajo,.,.,.,13246,13202
3124201 Urraul Bajo distrito 01,.,.,.,13246,13202
3124201001 Urraul Bajo sección 01001,.,.,.,13246,13202
44237 Urrea de Gaén,13356,12318,11614,11311,11053
4423701 Urrea de Gaén distrito 01,13356,12318,11614,11311,11053
4423701001 Urrea de Gaén sección 01001,13356,12318,11614,11311,11053
50269 Urrea de Jalón,9939,9069,8775,9028,9116
5026901 Urrea de Jalón distrito 01,9939,9069,8775,9028,9116
5026901001 Urrea de Jalón sección 01001,9939,9069,8775,9028,9116
20077 Urretxu,16088,15342,15135,15251,.
2007701 Urretxu distrito 01,16088,15342,15135,15251,.
2007701001 Urretxu sección 01001,16252,15564,15132,14943,.
2007701002 Urretxu sección 01002,14927,14292,13796,13739,.
2007701003 Urretxu sección 01003,17186,15224,16763,16008,.
2007701004 Urretxu sección 01004,16360,16466,16051,17729,.
2007701005 Urretxu sección 01005,15572,14738,14077,14541,.
2007701006 Urretxu sección 01006,16639,16260,15431,15490,.
50270 Urriés,.,.,.,.,.
5027001 Urriés distrito 01,.,.,.,.,.
5027001001 Urriés sección 01001,.,.,.,.,.
31244 Urroz,.,.,.,13693,14048
3124401 Urroz distrito 01,.,.,.,13693,14048
3124401001 Urroz sección 01001,.,.,.,13693,14048
31243 Urroz-Villa,.,.,.,14460,14594
3124301 Urroz-Villa distrito 01,.,.,.,14460,14594
3124301001 Urroz-Villa sección 01001,.,.,.,14460,14594
47178 Urueña,12230,10979,10643,11242,11605
4717801 Urueña distrito 01,12230,10979,10643,11242,11605
4717801001 Urueña sección 01001,12230,10979,10643,11242,11605
40210 Urueñas,.,.,.,.,.
4021001 Urueñas distrito 01,.,.,.,.,.
4021001001 Urueñas sección 01001,.,.,.,.,.
26160 Uruñuela,11529,11237,10542,9698,9353
2616001 Uruñuela distrito 01,11529,11237,10542,9698,9353
2616001001 Uruñuela sección 01001,11529,11237,10542,9698,9353
17206 Urús,16246,15758,19025,17812,16435
1720601 Urús distrito 01,16246,15758,19025,17812,16435
1720601001 Urús sección 01001,16246,15758,19025,17812,16435
31245 Urzainqui/Urzainki,.,.,.,.,.
3124501 Urzainqui/Urzainki distrito 01,.,.,.,.,.
3124501001 Urzainqui/Urzainki sección 01001,.,.,.,.,.
06136 Usagre,8914,8281,7933,7469,7147
0613601 Usagre distrito 01,8914,8281,7933,7469,7147
0613601001 Usagre sección 01001,9599,9238,8894,8369,8047
0613601002 Usagre sección 01002,8308,7426,7102,6687,6370
50271 Used,12885,11685,10552,11475,10425
5027101 Used distrito 01,12885,11685,10552,11475,10425
5027101001 Used sección 01001,12885,11685,10552,11475,10425
"12122 Useras/Useres, les",11467,11211,10095,9707,9408
"1212201 Useras/Useres, les distrito 01",11467,11211,10095,9707,9408
"1212201001 Useras/Useres, les sección 01001",11467,11211,10095,9707,9408
20073 Usurbil,15986,15263,14621,14174,.
2007301 Usurbil distrito 01,15986,15263,14621,14174,.
2007301001 Usurbil sección 01001,16521,15218,14435,14272,.
2007301002 Usurbil sección 01002,14597,13654,13524,13069,.
2007301003 Usurbil sección 01003,15790,15510,14656,14017,.
2007301004 Usurbil sección 01004,16759,16931,16581,15845,.
19296 Utande,.,.,.,.,.
1929601 Utande distrito 01,.,.,.,.,.
1929601001 Utande sección 01001,.,.,.,.,.
50272 Utebo,12456,11993,11494,11058,10713
5027201 Utebo distrito 01,12456,11993,11494,11058,10713
5027201001 Utebo sección 01001,12386,12173,11735,11215,10935
5027201002 Utebo sección 01002,12082,11970,11319,10852,10729
5027201003 Utebo sección 01003,12097,11458,10983,10519,10471
5027201004 Utebo sección 01004,13213,12553,12283,11724,11311
5027201005 Utebo sección 01005,11736,11306,10683,10262,9751
5027201006 Utebo sección 01006,13036,12649,12174,11797,11105
5027201007 Utebo sección 01007,12798,12037,11313,11237,10981
5027201008 Utebo sección 01008,12087,11487,11223,10608,10219
5027201009 Utebo sección 01009,12438,12208,11852,11258,10833
5027201010 Utebo sección 01010,13459,12899,12059,11753,11314
5027201011 Utebo sección 01011,11724,11287,10789,10444,9981
31246 Uterga,.,.,.,16231,14906
3124601 Uterga distrito 01,.,.,.,16231,14906
3124601001 Uterga sección 01001,.,.,.,16231,14906
46249 Utiel,10647,10239,9560,9081,8930
4624901 Utiel distrito 01,10450,9905,9508,9092,8843
4624901001 Utiel sección 01001,10233,9563,9258,8810,8574
4624901002 Utiel sección 01002,10761,10410,9885,9513,9258
4624902 Utiel distrito 02,10699,10312,9603,9148,9038
4624902001 Utiel sección 02001,10486,10256,9545,9253,9086
4624902002 Utiel sección 02002,9743,9315,8518,8078,7815
4624902003 Utiel sección 02003,11644,11130,10474,9839,9917
4624903 Utiel distrito 03,11047,10687,10005,9448,9176
4624903001 Utiel sección 03001,11411,11221,10656,9958,9633
4624903002 Utiel sección 03002,11571,11215,10396,9815,9614
4624903003 Utiel sección 03003,10070,9580,8949,8555,8240
4624904 Utiel distrito 04,9424,9026,8016,7609,7848
4624904002 Utiel sección 04002,9424,9026,8016,7609,7848
41095 Utrera,9287,8746,8290,7870,7680
4109501 Utrera distrito 01,9857,9271,8941,8529,8375
4109501001 Utrera sección 01001,11370,10495,9902,9735,9490
4109501002 Utrera sección 01002,11952,11529,10147,10326,10238
4109501003 Utrera sección 01003,11094,10237,9873,9538,9541
4109501004 Utrera sección 01004,8818,8103,9540,7832,7382
4109501005 Utrera sección 01005,7947,7744,7248,6984,6734
4109501006 Utrera sección 01006,11109,10951,10178,9792,9865
4109501007 Utrera sección 01007,9127,8627,8134,7931,7936
4109501008 Utrera sección 01008,8455,7795,7458,7452,7425
4109501009 Utrera sección 01009,10704,10042,9664,9267,9062
4109501010 Utrera sección 01010,8184,7569,7254,6644,6300
4109502 Utrera distrito 02,9893,9266,8849,8504,8307
4109502001 Utrera sección 02001,11558,10445,10336,9983,9813
4109502002 Utrera sección 02002,8977,8293,7842,7394,7317
4109502003 Utrera sección 02003,9540,9147,8572,8325,8132
4109502004 Utrera sección 02004,5893,5268,4978,4774,4614
4109502005 Utrera sección 02005,12142,11584,11082,10746,10378
4109503 Utrera distrito 03,8754,8179,8131,7377,7212
4109503002 Utrera sección 03002,6749,6228,5871,5582,5364
4109503003 Utrera sección 03003,10055,9565,12137,8444,8180
4109503004 Utrera sección 03004,8649,8132,7955,7450,7260
4109503005 Utrera sección 03005,10753,10317,9590,9143,8829
4109503006 Utrera sección 03006,8756,7974,7667,7337,7416
4109503007 Utrera sección 03007,7232,6707,6261,6061,5862
4109504 Utrera distrito 04,9540,9233,8666,8175,8260
4109504001 Utrera sección 04001,10888,10930,9756,9423,8979
4109504002 Utrera sección 04002,9442,9158,8765,8187,8668
4109504003 Utrera sección 04003,8677,8080,7497,7087,6689
4109505 Utrera distrito 05,8840,8343,7623,7355,7070
4109505001 Utrera sección 05001,8530,7991,7574,.,7060
4109505003 Utrera sección 05003,.,.,5797,.,5617
4109505004 Utrera sección 05004,8315,7791,7445,.,6860
4109505005 Utrera sección 05005,5984,5640,5250,.,4798
4109505006 Utrera sección 05006,8291,8109,7315,.,7068
4109505007 Utrera sección 05007,12708,11894,10920,.,9745
4109505008 Utrera sección 05008,7423,6757,6685,.,4900
4109505009 Utrera sección 05009,10148,9584,9100,.,8507
4109505010 Utrera sección 05010,8352,8155,8007,.,7196
4109505011 Utrera sección 05011,10538,10116,9608,.,9035
4109505012 Utrera sección 05012,5321,4927,4546,.,.
4109505013 Utrera sección 05013,10364,9821,9486,.,.
44238 Utrillas,12625,12261,11788,11241,11261
4423801 Utrillas distrito 01,12051,11863,11262,10651,10695
4423801001 Utrillas sección 01001,12051,11863,11262,10651,10695
4423802 Utrillas distrito 02,12815,12389,11968,11441,11453
4423802001 Utrillas sección 02001,13248,12879,12874,12682,12116
4423802002 Utrillas sección 02002,12241,11760,10770,10054,10158
4423802003 Utrillas sección 02003,13043,12633,12424,11841,12229
31247 Uztárroz/Uztarroze,.,.,.,16133,16065
3124701 Uztárroz/Uztarroze distrito 01,.,.,.,16133,16065
3124701001 Uztárroz/Uztarroze sección 01001,.,.,.,16133,16065
08291 Vacarisses,13878,13192,12604,12350,11777
0829101 Vacarisses distrito 01,13878,13192,12604,12350,11777
0829101001 Vacarisses sección 01001,15316,14302,13686,13205,12512
0829101002 Vacarisses sección 01002,14666,13897,13396,13025,12494
0829101003 Vacarisses sección 01003,12690,12264,11585,11804,11184
0829101004 Vacarisses sección 01004,12493,11862,11283,10724,10290
42190 Vadillo,.,.,10872,.,9736
4219001 Vadillo distrito 01,.,.,10872,.,9736
4219001001 Vadillo sección 01001,.,.,10872,.,9736
49226 Vadillo de la Guareña,10900,10451,9386,10472,9457
4922601 Vadillo de la Guareña distrito 01,10900,10451,9386,10472,9457
4922601001 Vadillo de la Guareña sección 01001,10900,10451,9386,10472,9457
05251 Vadillo de la Sierra,.,.,.,.,.
0525101 Vadillo de la Sierra distrito 01,.,.,.,.,.
0525101001 Vadillo de la Sierra sección 01001,.,.,.,.,.
09400 Vadocondes,13131,13366,12050,12009,11138
0940001 Vadocondes distrito 01,13131,13366,12050,12009,11138
0940001001 Vadocondes sección 01001,13131,13366,12050,12009,11138
"17014 Vajol, La",.,.,.,.,.
"1701401 Vajol, La distrito 01",.,.,.,.,.
"1701401001 Vajol, La sección 01001",.,.,.,.,.
24185 Val de San Lorenzo,12198,11602,11088,10892,10377
2418501 Val de San Lorenzo distrito 01,12198,11602,11088,10892,10377
2418501001 Val de San Lorenzo sección 01001,12198,11602,11088,10892,10377
50274 Val de San Martín,.,.,.,.,.
5027401 Val de San Martín distrito 01,.,.,.,.,.
5027401001 Val de San Martín sección 01001,.,.,.,.,.
39095 Val de San Vicente,10614,10427,9881,9559,9100
3909501 Val de San Vicente distrito 01,10614,10427,9881,9559,9100
3909501001 Val de San Vicente sección 01001,10413,10280,9591,9298,8755
3909501002 Val de San Vicente sección 01002,11080,10758,10522,10148,9847
15088 Val do Dubra,11263,10504,9892,9408,9148
1508801 Val do Dubra distrito 01,11263,10504,9892,9408,9148
1508801001 Val do Dubra sección 01001,11378,10578,10068,9574,9357
1508801002 Val do Dubra sección 01002,11468,10528,9968,9151,8904
1508801003 Val do Dubra sección 01003,10951,10387,9603,9389,9081
44239 Valacloche,.,.,.,.,.
4423901 Valacloche distrito 01,.,.,.,.,.
4423901001 Valacloche sección 01001,.,.,.,.,.
"27063 Valadouro, O",11282,10979,10467,10285,9870
"2706301 Valadouro, O distrito 01",11282,10979,10467,10285,9870
"2706301001 Valadouro, O sección 01001",11136,10910,10404,10391,9899
"2706301002 Valadouro, O sección 01002",11593,11123,10597,10073,9813
44240 Valbona,12771,12726,11621,11104,11323
4424001 Valbona distrito 01,12771,12726,11621,11104,11323
4424001001 Valbona sección 01001,12771,12726,11621,11104,11323
47179 Valbuena de Duero,14305,15433,11773,11526,11176
4717901 Valbuena de Duero distrito 01,14305,15433,11773,11526,11176
4717901001 Valbuena de Duero sección 01001,14305,15433,11773,11526,11176
34186 Valbuena de Pisuerga,.,.,.,.,.
3418601 Valbuena de Pisuerga distrito 01,.,.,.,.,.
3418601001 Valbuena de Pisuerga sección 01001,.,.,.,.,.
49227 Valcabado,11365,10323,10301,9662,10013
4922701 Valcabado distrito 01,11365,10323,10301,9662,10013
4922701001 Valcabado sección 01001,11365,10323,10301,9662,10013
39091 Valdáliga,11413,10763,10395,9847,9504
3909101 Valdáliga distrito 01,11413,10763,10395,9847,9504
3909101001 Valdáliga sección 01001,11214,10681,10228,9913,9578
3909101002 Valdáliga sección 01002,13278,11967,11814,10964,10658
3909101003 Valdáliga sección 01003,10104,9786,9345,8736,8308
28155 Valdaracete,10818,10310,9782,10328,9265
2815501 Valdaracete distrito 01,10818,10310,9782,10328,9265
2815501001 Valdaracete sección 01001,10818,10310,9782,10328,9265
19297 Valdarachas,.,.,.,.,.
1929701 Valdarachas distrito 01,.,.,.,.,.
1929701001 Valdarachas sección 01001,.,.,.,.,.
10196 Valdastillas,8774,8059,7718,8136,8419
1019601 Valdastillas distrito 01,8774,8059,7718,8136,8419
1019601001 Valdastillas sección 01001,8774,8059,7718,8136,8419
44241 Valdealgorfa,10223,9835,9118,9495,9183
4424101 Valdealgorfa distrito 01,10223,9835,9118,9495,9183
4424101001 Valdealgorfa sección 01001,10223,9835,9118,9495,9183
09403 Valdeande,18102,16916,15768,.,.
0940301 Valdeande distrito 01,18102,16916,15768,.,.
0940301001 Valdeande sección 01001,18102,16916,15768,.,.
47180 Valdearcos de la Vega,.,.,.,.,.
4718001 Valdearcos de la Vega distrito 01,.,.,.,.,.
4718001001 Valdearcos de la Vega sección 01001,.,.,.,.,.
19298 Valdearenas,.,.,.,.,.
1929801 Valdearenas distrito 01,.,.,.,.,.
1929801001 Valdearenas sección 01001,.,.,.,.,.
19299 Valdeavellano,13594,13046,12104,11909,11063
1929901 Valdeavellano distrito 01,13594,13046,12104,11909,11063
1929901001 Valdeavellano sección 01001,13594,13046,12104,11909,11063
42191 Valdeavellano de Tera,16071,16075,17671,16481,17299
4219101 Valdeavellano de Tera distrito 01,16071,16075,17671,16481,17299
4219101001 Valdeavellano de Tera sección 01001,16071,16075,17671,16481,17299
28156 Valdeavero,11951,11306,11147,10999,10778
2815601 Valdeavero distrito 01,11951,11306,11147,10999,10778
2815601001 Valdeavero sección 01001,11951,11306,11147,10999,10778
19300 Valdeaveruelo,14752,14060,13089,13262,12190
1930001 Valdeaveruelo distrito 01,14752,14060,13089,13262,12190
1930001001 Valdeaveruelo sección 01001,14752,14060,13089,13262,12190
06137 Valdecaballeros,9620,9012,8470,8091,8065
0613701 Valdecaballeros distrito 01,9620,9012,8470,8091,8065
0613701001 Valdecaballeros sección 01001,9620,9012,8470,8091,8065
10197 Valdecañas de Tajo,13364,12933,12287,12023,10807
1019701 Valdecañas de Tajo distrito 01,13364,12933,.,12023,10807
1019701001 Valdecañas de Tajo sección 01001,13364,12933,.,12023,10807
37330 Valdecarros,11983,13017,12219,11295,10537
3733001 Valdecarros distrito 01,11983,13017,12219,11295,10537
3733001001 Valdecarros sección 01001,11983,13017,12219,11295,10537
05252 Valdecasa,.,.,.,.,.
0525201 Valdecasa distrito 01,.,.,.,.,.
0525201001 Valdecasa sección 01001,.,.,.,.,.
"16906 Valdecolmenas, Los",.,.,.,.,.
"1690601 Valdecolmenas, Los distrito 01",.,.,.,.,.
"1690601001 Valdecolmenas, Los sección 01001",.,.,.,.,.
19301 Valdeconcha,.,.,.,.,.
1930101 Valdeconcha distrito 01,.,.,.,.,.
1930101001 Valdeconcha sección 01001,.,.,.,.,.
44243 Valdecuenca,.,.,.,.,.
4424301 Valdecuenca distrito 01,.,.,.,.,.
4424301001 Valdecuenca sección 01001,.,.,.,.,.
49228 Valdefinjas,.,.,.,.,.
4922801 Valdefinjas distrito 01,.,.,.,.,.
4922801001 Valdefinjas sección 01001,.,.,.,.,.
24175 Valdefresno,13783,13108,12533,12374,12047
2417501 Valdefresno distrito 01,13783,13108,12533,12374,12047
2417501001 Valdefresno sección 01001,13783,13108,12533,12374,12047
10198 Valdefuentes,10206,9728,8953,8818,8727
1019801 Valdefuentes distrito 01,10206,9728,8953,8818,8727
1019801001 Valdefuentes sección 01001,10206,9728,8953,8818,8727
37331 Valdefuentes de Sangusín,11191,10635,10319,9536,9092
3733101 Valdefuentes de Sangusín distrito 01,11191,10635,10319,9536,9092
3733101001 Valdefuentes de Sangusín sección 01001,11191,10635,10319,9536,9092
24176 Valdefuentes del Páramo,11739,12117,9663,9728,10925
2417601 Valdefuentes del Páramo distrito 01,11739,12117,9663,9728,10925
2417601001 Valdefuentes del Páramo sección 01001,11739,12117,9663,9728,10925
02075 Valdeganga,10416,9977,9144,8776,8406
0207501 Valdeganga distrito 01,10323,9941,9192,8742,8491
0207501001 Valdeganga sección 01001,10323,9941,9192,8742,8491
0207502 Valdeganga distrito 02,10602,10048,9051,8839,8249
0207502001 Valdeganga sección 02001,10602,10048,9051,8839,8249
42192 Valdegeña,.,.,.,.,.
4219201 Valdegeña distrito 01,.,.,.,.,.
4219201001 Valdegeña sección 01001,.,.,.,.,.
01055 Valdegovía/Gaubea,14948,14255,14090,14325,13667
0105501 Valdegovía/Gaubea distrito 01,.,.,.,.,.
0105501001 Valdegovía/Gaubea sección 01001,.,.,.,.,.
19302 Valdegrudas,.,.,.,.,.
1930201 Valdegrudas distrito 01,.,.,.,.,.
1930201001 Valdegrudas sección 01001,.,.,.,.,.
37332 Valdehijaderos,.,.,.,.,.
3733201 Valdehijaderos distrito 01,.,.,.,.,.
3733201001 Valdehijaderos sección 01001,.,.,.,.,.
50273 Valdehorna,.,.,.,.,.
5027301 Valdehorna distrito 01,.,.,.,.,.
5027301001 Valdehorna sección 01001,.,.,.,.,.
10199 Valdehúncar,10764,10685,10093,10172,9530
1019901 Valdehúncar distrito 01,10764,10685,10093,10172,9530
1019901001 Valdehúncar sección 01001,10764,10685,10093,10172,9530
06901 Valdelacalzada,8839,7904,7555,7286,7380
0690101 Valdelacalzada distrito 01,8839,7904,7555,7286,7380
0690101001 Valdelacalzada sección 01001,8755,7947,7492,7266,7231
0690101002 Valdelacalzada sección 01002,8964,7838,7652,7318,7621
37333 Valdelacasa,10792,10270,10392,9915,9293
3733301 Valdelacasa distrito 01,10792,10270,10392,9915,9293
3733301001 Valdelacasa sección 01001,10792,10270,10392,9915,9293
10200 Valdelacasa de Tajo,10582,9972,9382,9137,8954
1020001 Valdelacasa de Tajo distrito 01,10582,9972,9382,9137,8954
1020001001 Valdelacasa de Tajo sección 01001,10582,9972,9382,9137,8954
37334 Valdelageve,.,.,.,.,.
3733401 Valdelageve distrito 01,.,.,.,.,.
3733401001 Valdelageve sección 01001,.,.,.,.,.
42193 Valdelagua del Cerro,.,.,.,.,.
4219301 Valdelagua del Cerro distrito 01,.,.,.,.,.
4219301001 Valdelagua del Cerro sección 01001,.,.,.,.,.
28157 Valdelaguna,10861,10581,9732,9548,9293
2815701 Valdelaguna distrito 01,10861,10581,9732,9548,9293
2815701001 Valdelaguna sección 01001,10861,10581,9732,9548,9293
21071 Valdelarco,10122,9652,8675,8380,8145
2107101 Valdelarco distrito 01,10122,9652,8675,8380,8145
2107101001 Valdelarco sección 01001,10122,9652,8675,8380,8145
19303 Valdelcubo,.,.,.,.,.
1930301 Valdelcubo distrito 01,.,.,.,.,.
1930301001 Valdelcubo sección 01001,.,.,.,.,.
44244 Valdelinares,.,.,.,.,.
4424401 Valdelinares distrito 01,.,.,.,.,.
4424401001 Valdelinares sección 01001,.,.,.,.,.
37335 Valdelosa,11925,11362,10905,10356,10051
3733501 Valdelosa distrito 01,11925,11362,10905,10356,10051
3733501001 Valdelosa sección 01001,11925,11362,10905,10356,10051
44245 Valdeltormo,9621,9940,8756,9107,8837
4424501 Valdeltormo distrito 01,9621,9940,8756,9107,8837
4424501001 Valdeltormo sección 01001,9621,9940,8756,9107,8837
24177 Valdelugueros,13975,13735,12939,13380,12391
2417701 Valdelugueros distrito 01,13975,13735,12939,13380,12391
2417701001 Valdelugueros sección 01001,13975,13735,12939,13380,12391
26161 Valdemadera,.,.,.,.,.
2616101 Valdemadera distrito 01,.,.,.,.,.
2616101001 Valdemadera sección 01001,.,.,.,.,.
42194 Valdemaluque,12380,12408,12361,11509,11424
4219401 Valdemaluque distrito 01,12380,12408,12361,11509,11424
4219401001 Valdemaluque sección 01001,12380,12408,12361,11509,11424
28158 Valdemanco,11733,12386,11175,10851,10844
2815801 Valdemanco distrito 01,11733,12386,11175,10851,10844
2815801001 Valdemanco sección 01001,11733,12386,11175,10851,10844
13086 Valdemanco del Esteras,9664,9475,9035,8621,8230
1308601 Valdemanco del Esteras distrito 01,9664,9475,9035,8621,8230
1308601001 Valdemanco del Esteras sección 01001,9664,9475,9035,8621,8230
28159 Valdemaqueda,10198,9700,9381,8524,8214
2815901 Valdemaqueda distrito 01,10198,9700,9381,8524,8214
2815901001 Valdemaqueda sección 01001,10198,9700,9381,8524,8214
16224 Valdemeca,.,.,.,.,.
1622401 Valdemeca distrito 01,.,.,.,.,.
1622401001 Valdemeca sección 01001,.,.,.,.,.
37336 Valdemierque,.,.,.,.,.
3733601 Valdemierque distrito 01,.,.,.,.,.
3733601001 Valdemierque sección 01001,.,.,.,.,.
24178 Valdemora,.,.,.,.,.
2417801 Valdemora distrito 01,.,.,.,.,.
2417801001 Valdemora sección 01001,.,.,.,.,.
10201 Valdemorales,10326,9923,9092,8537,8185
1020101 Valdemorales distrito 01,10326,9923,9092,8537,8185
1020101001 Valdemorales sección 01001,10326,9923,9092,8537,8185
28160 Valdemorillo,14267,11659,13257,13236,12768
2816001 Valdemorillo distrito 01,14267,11659,13257,13236,12768
2816001001 Valdemorillo sección 01001,10747,9849,9390,8958,8903
2816001002 Valdemorillo sección 01002,13078,3719,12502,11617,10951
2816001003 Valdemorillo sección 01003,16141,15737,15240,17123,15595
2816001004 Valdemorillo sección 01004,16635,16197,15566,15029,15003
2816001005 Valdemorillo sección 01005,13538,13493,12707,12383,12718
