Unidad,2019,2018,2017,2016,2015
0900301001 Adrada de Haza sección 01001,12359,11808,11248,10745,10341
40002 Adrada de Pirón,.,.,.,.,.
4000201 Adrada de Pirón distrito 01,.,.,.,.,.
4000201001 Adrada de Pirón sección 01001,.,.,.,.,.
"05002 Adrada, La",9297,8757,8378,7969,7730
"0500201 Adrada, La distrito 01",9297,8757,8378,7969,7730
"0500201001 Adrada, La sección 01001",8902,8691,8403,7811,7725
"0500201002 Adrada, La sección 01002",9727,8830,8350,8149,7737
42003 Adradas,.,.,.,.,.
4200301 Adradas distrito 01,.,.,.,.,.
4200301001 Adradas sección 01001,.,.,.,.,.
40003 Adrados,12990,11454,10883,10663,9854
4000301 Adrados distrito 01,12990,11454,10883,10663,9854
4000301001 Adrados sección 01001,12990,11454,10883,10663,9854
20002 Aduna,16825,16457,15994,15485,.
2000201 Aduna distrito 01,16825,16457,15994,15485,.
2000201001 Aduna sección 01001,16825,16457,15994,15485,.
35001 Agaete,11401,10740,10156,9691,9398
3500101 Agaete distrito 01,11401,10740,10156,9691,9398
3500101001 Agaete sección 01001,12261,10777,10182,9592,9331
3500101002 Agaete sección 01002,10507,10265,9699,9242,8780
3500101003 Agaete sección 01003,10555,10017,9613,8909,8607
3500101004 Agaete sección 01004,12614,12237,11602,11381,11001
3500101005 Agaete sección 01005,11521,10779,10068,9683,9672
37002 Agallas,10974,10337,10516,10085,10134
3700201 Agallas distrito 01,10974,10337,10516,10085,10134
3700201001 Agallas sección 01001,10974,10337,10516,10085,10134
25002 Àger,12811,12247,11666,12464,11412
2500201 Àger distrito 01,12811,12247,11666,12464,11412
2500201001 Àger sección 01001,12811,12247,11666,12464,11412
36020 Agolada,10272,9722,9179,8817,8481
3602001 Agolada distrito 01,10721,10137,9705,9309,9034
3602001001 Agolada sección 01001,10721,10137,9705,9309,9034
3602002 Agolada distrito 02,9582,9268,8703,8384,7927
3602002001 Agolada sección 02001,9582,9268,8703,8384,7927
3602003 Agolada distrito 03,10216,9437,8709,8338,8042
3602003001 Agolada sección 03001,10216,9437,8709,8338,8042
50003 Agón,13112,12173,12298,12821,12334
5000301 Agón distrito 01,13112,12173,12298,12821,12334
5000301001 Agón sección 01001,13112,12173,12298,12821,12334
26002 Agoncillo,13133,12338,11671,11857,11096
2600201 Agoncillo distrito 01,13133,12338,11671,11857,11096
2600201001 Agoncillo sección 01001,13133,12338,11671,11857,11096
03002 Agost,9723,9155,8699,8312,8036
0300201 Agost distrito 01,9723,9155,8699,8312,8036
0300201001 Agost sección 01001,9315,8478,8084,7598,7554
0300201002 Agost sección 01002,10039,9706,9244,8955,8648
0300201003 Agost sección 01003,9867,9324,8762,8364,7834
25003 Agramunt,12645,12072,11475,11110,10796
2500301 Agramunt distrito 01,12645,12072,11475,11110,10796
2500301001 Agramunt sección 01001,12159,12097,11646,10998,10983
2500301002 Agramunt sección 01002,12481,11693,11140,10768,10630
2500301003 Agramunt sección 01003,12403,11871,11185,10864,10378
2500301004 Agramunt sección 01004,13286,12509,11932,11687,11332
42004 Ágreda,13084,12633,11924,11416,11125
4200401 Ágreda distrito 01,13084,12633,11924,11416,11125
4200401001 Ágreda sección 01001,12993,12447,11775,11212,10991
4200401002 Ágreda sección 01002,13195,12868,12118,11673,11292
03003 Agres,12435,11074,10578,10171,9920
0300301 Agres distrito 01,12435,11074,10578,10171,9920
0300301001 Agres sección 01001,12435,11074,10578,10171,9920
18001 Agrón,8996,8655,8319,8113,8360
1800101 Agrón distrito 01,8996,8655,8319,8113,8360
1800101001 Agrón sección 01001,8996,8655,8319,8113,8360
41001 Aguadulce,8898,8323,7986,7662,7857
4100101 Aguadulce distrito 01,9734,9088,8855,8550,8818
4100101001 Aguadulce sección 01001,9734,9088,8855,8550,8818
4100102 Aguadulce distrito 02,8288,7756,7330,6989,7142
4100102001 Aguadulce sección 02001,8288,7756,7330,6989,7142
50004 Aguarón,12265,11956,11280,10009,10229
5000401 Aguarón distrito 01,12265,11956,11280,10009,10229
5000401001 Aguarón sección 01001,12265,11956,11280,10009,10229
09006 Aguas Cándidas,.,.,.,.,.
0900601 Aguas Cándidas distrito 01,.,.,.,.,.
0900601001 Aguas Cándidas sección 01001,.,.,.,.,.
47002 Aguasal,.,.,.,.,.
4700201 Aguasal distrito 01,.,.,.,.,.
4700201001 Aguasal sección 01001,.,.,.,.,.
44003 Aguatón,.,.,.,.,.
4400301 Aguatón distrito 01,.,.,.,.,.
4400301001 Aguatón sección 01001,.,.,.,.,.
44004 Aguaviva,10897,11217,9984,9343,9328
4400401 Aguaviva distrito 01,10897,11217,9984,9343,9328
4400401001 Aguaviva sección 01001,10897,11217,9984,9343,9328
13002 Agudo,8677,8409,7746,7638,7261
1300201 Agudo distrito 01,8677,8409,7746,7638,7261
1300201001 Agudo sección 01001,8606,8423,7713,7835,7386
1300201002 Agudo sección 01002,8796,8387,7797,7327,7062
22004 Agüero,14657,13841,12967,13143,12301
2200401 Agüero distrito 01,14657,13841,12967,13143,12301
2200401001 Agüero sección 01001,14657,13841,12967,13143,12301
40004 Aguilafuente,11470,10968,10344,9811,9942
4000401 Aguilafuente distrito 01,11470,10968,10344,9811,9942
4000401001 Aguilafuente sección 01001,11470,10968,10344,9811,9942
09007 Aguilar de Bureba,.,.,.,.,.
0900701 Aguilar de Bureba distrito 01,.,.,.,.,.
0900701001 Aguilar de Bureba sección 01001,.,.,.,.,.
34004 Aguilar de Campoo,13766,13232,12577,12013,11764
3400401 Aguilar de Campoo distrito 01,14326,14382,12602,12097,11858
3400401001 Aguilar de Campoo sección 01001,14713,15675,12417,12099,11711
3400401002 Aguilar de Campoo sección 01002,13967,13146,12740,12096,11964
3400402 Aguilar de Campoo distrito 02,13506,12739,12446,12071,11855
3400402001 Aguilar de Campoo sección 02001,13019,12475,11833,11545,11387
3400402002 Aguilar de Campoo sección 02002,13740,12752,12455,12026,11674
3400402003 Aguilar de Campoo sección 02003,13586,12842,12671,12289,12114
3400403 Aguilar de Campoo distrito 03,13635,12778,13298,11441,10990
3400403001 Aguilar de Campoo sección 03001,13635,12778,13298,11441,10990
47003 Aguilar de Campos,11115,10343,9916,9651,9189
4700301 Aguilar de Campos distrito 01,11115,10343,9916,9651,9189
4700301001 Aguilar de Campos sección 01001,11115,10343,9916,9651,9189
31008 Aguilar de Codés,.,.,.,.,.
3100801 Aguilar de Codés distrito 01,.,.,.,.,.
3100801001 Aguilar de Codés sección 01001,.,.,.,.,.
14002 Aguilar de la Frontera,8684,8329,7820,7611,7253
1400201 Aguilar de la Frontera distrito 01,9239,8869,8496,8267,7801
1400201001 Aguilar de la Frontera sección 01001,9151,8770,8517,8262,7649
1400201002 Aguilar de la Frontera sección 01002,11822,11536,11048,11109,10355
1400201003 Aguilar de la Frontera sección 01003,7774,7358,6915,6521,6316
1400202 Aguilar de la Frontera distrito 02,8394,8023,7542,7372,7057
1400202001 Aguilar de la Frontera sección 02001,8826,8273,7775,7565,7420
1400202002 Aguilar de la Frontera sección 02002,8888,8750,8174,7973,7594
1400202003 Aguilar de la Frontera sección 02003,7096,6611,6379,6122,5907
1400202004 Aguilar de la Frontera sección 02004,9155,8930,8190,8169,7623
1400203 Aguilar de la Frontera distrito 03,8587,8251,7648,7416,7085
1400203001 Aguilar de la Frontera sección 03001,8278,7952,7428,6885,6468
1400203002 Aguilar de la Frontera sección 03002,9530,9248,8507,8286,7926
1400203003 Aguilar de la Frontera sección 03003,8091,7892,7341,7084,6915
1400203004 Aguilar de la Frontera sección 03004,7925,7318,6817,.,.
08002 Aguilar de Segarra,14965,13707,14230,14396,13097
0800201 Aguilar de Segarra distrito 01,14965,13707,14230,14396,13097
0800201001 Aguilar de Segarra sección 01001,14965,13707,14230,14396,13097
44005 Aguilar del Alfambra,.,.,.,.,.
4400501 Aguilar del Alfambra distrito 01,.,.,.,.,.
4400501001 Aguilar del Alfambra sección 01001,.,.,.,.,.
26003 Aguilar del Río Alhama,12572,11967,10717,10593,10354
2600301 Aguilar del Río Alhama distrito 01,12572,11967,10717,10593,10354
2600301001 Aguilar del Río Alhama sección 01001,12572,11967,10717,10593,10354
30003 Águilas,9383,9011,8684,8269,7977
3000301 Águilas distrito 01,9383,9011,8684,8269,7977
3000301001 Águilas sección 01001,10499,10174,9451,9032,8971
3000301002 Águilas sección 01002,10339,10774,10552,9941,9370
3000301003 Águilas sección 01003,8397,7893,7593,7195,7069
3000301004 Águilas sección 01004,9007,8823,8437,8240,7799
3000301005 Águilas sección 01005,8759,8005,7718,7542,7350
3000301006 Águilas sección 01006,8790,8084,7739,7315,7106
3000301007 Águilas sección 01007,10326,9810,8400,7892,7895
3000301008 Águilas sección 01008,8848,9077,9386,9145,8676
3000301009 Águilas sección 01009,13617,13345,12837,12050,12411
3000301010 Águilas sección 01010,8518,7768,7328,6867,6636
3000301011 Águilas sección 01011,8778,8438,8200,7939,7517
3000301012 Águilas sección 01012,8660,8245,8121,7785,7347
3000301013 Águilas sección 01013,7965,7789,7572,7367,6978
3000301014 Águilas sección 01014,8500,8237,7937,7696,7542
3000301015 Águilas sección 01015,10136,9473,9281,8588,8558
3000301016 Águilas sección 01016,11811,11648,11443,10786,10321
3000301017 Águilas sección 01017,5059,4891,4544,4205,4043
3000301018 Águilas sección 01018,7839,7518,7031,6754,6383
3000301019 Águilas sección 01019,11346,10968,10784,10214,9904
3000301020 Águilas sección 01020,9386,8966,9175,8876,7602
3000301021 Águilas sección 01021,9968,9536,9166,8710,8390
3000301022 Águilas sección 01022,9782,9081,8794,8232,8211
3000301023 Águilas sección 01023,8179,7880,7770,7544,7173
3000301024 Águilas sección 01024,11958,11352,10892,10744,10937
3000301025 Águilas sección 01025,8341,8021,7675,7355,7145
3000301026 Águilas sección 01026,8784,8200,7794,7191,7098
3000301027 Águilas sección 01027,8974,8431,7922,7569,7351
3000301028 Águilas sección 01028,7965,7780,7617,7239,6938
3000301029 Águilas sección 01029,10693,10107,10014,9278,8906
3000301030 Águilas sección 01030,10946,10945,9985,9839,9221
50005 Aguilón,14805,14630,14168,13862,13341
5000501 Aguilón distrito 01,14805,14630,14168,13862,13341
5000501001 Aguilón sección 01001,14805,14630,14168,13862,13341
35002 Agüimes,10783,10183,9718,9314,8976
3500201 Agüimes distrito 01,10783,10183,9718,9314,8976
3500201001 Agüimes sección 01001,10579,9827,9482,9084,8605
3500201002 Agüimes sección 01002,10568,10037,9890,9792,9565
3500201003 Agüimes sección 01003,9536,9147,8893,8161,7765
3500201004 Agüimes sección 01004,11009,9985,9127,8815,8595
3500201005 Agüimes sección 01005,7871,7267,7038,6478,6157
3500201006 Agüimes sección 01006,13178,12364,11512,11205,10517
3500201007 Agüimes sección 01007,10958,10206,10147,9804,9642
3500201008 Agüimes sección 01008,10835,10243,9692,9325,8986
3500201009 Agüimes sección 01009,9449,9031,8554,8132,7969
3500201010 Agüimes sección 01010,13095,12070,11598,11173,10521
3500201011 Agüimes sección 01011,9116,8760,8136,7939,7502
3500201012 Agüimes sección 01012,12200,11294,11770,11250,10930
3500201013 Agüimes sección 01013,8701,8430,7932,7430,7188
3500201014 Agüimes sección 01014,11284,10918,10534,10034,9878
3500201015 Agüimes sección 01015,8781,8414,7871,7622,7449
3500201016 Agüimes sección 01016,11287,10339,9965,10108,9737
3500201017 Agüimes sección 01017,10119,9133,9068,8912,8536
3500201018 Agüimes sección 01018,12063,11529,10947,10413,10317
3500201019 Agüimes sección 01019,11595,11188,10680,10347,9876
3500201020 Agüimes sección 01020,10833,10109,10138,.,.
3500201021 Agüimes sección 01021,12097,10830,10421,.,.
3500201022 Agüimes sección 01022,12540,12681,11759,.,.
3500201023 Agüimes sección 01023,13299,13342,13447,.,.
17001 Agullana,14657,14209,13392,12706,12731
1700101 Agullana distrito 01,14657,14209,13392,12706,12731
1700101001 Agullana sección 01001,14657,14209,13392,12706,12731
46004 Agullent,10646,10094,9550,9367,9045
4600401 Agullent distrito 01,10646,10094,9550,9367,9045
4600401001 Agullent sección 01001,10646,10094,9550,9367,9045
38002 Agulo,11301,10633,10554,9677,9739
3800201 Agulo distrito 01,11301,10633,10554,9677,9739
3800201001 Agulo sección 01001,11301,10633,10554,9677,9739
01051 Agurain/Salvatierra,13034,12369,12490,12374,12083
0105101 Agurain/Salvatierra distrito 01,.,.,.,.,.
0105101001 Agurain/Salvatierra sección 01001,.,.,.,.,.
0105101002 Agurain/Salvatierra sección 01002,.,.,.,.,.
0105101003 Agurain/Salvatierra sección 01003,.,.,.,.,.
10006 Ahigal,8857,8611,8141,7953,8016
1000601 Ahigal distrito 01,8857,8611,8141,7953,8016
1000601001 Ahigal sección 01001,8857,8611,8141,7953,8016
37003 Ahigal de los Aceiteros,11253,11083,10352,10638,9716
3700301 Ahigal de los Aceiteros distrito 01,11253,11083,10352,10638,9716
3700301001 Ahigal de los Aceiteros sección 01001,11253,11083,10352,10638,9716
