fecha,indicativo,tmin,longitud,latitud
2021-01-07,8414A,4.4,-0.474722,39.485
2021-01-07,1735X,-7.2,-7.733611,42.079167
2021-01-07,5270B,3.4,-3.808889,37.7775
2021-01-07,9563X,-4,-0.186667,40.498611
2021-01-07,1700X,-2.9,-8.0925,42.421389
2021-01-07,3526X,-0.3,-6.5575,40.003611
2021-01-07,1387,2.9,-8.421389,43.365833
2021-01-07,9381I,-4.7,-1.293333,40.926111
2021-01-07,4121,0.3,-3.920278,38.989167
2021-01-07,8177A,-1.4,-1.66,38.935833
2021-01-07,1183X,1.6,-4.748056,43.420278
2021-01-07,8368U,-2,-1.124167,40.350556
2021-01-07,8178D,0.1,-1.862222,39.005556
2021-01-07,8416Y,5.1,-0.366389,39.480556
2021-01-07,5783,6.8,-5.879167,37.416667
2021-01-07,1400,3.6,-9.291389,42.924722
2021-01-07,6156X,8.5,-4.481667,36.717778
2021-01-07,5530E,3.7,-3.789444,37.189722
2021-01-07,6084X,10.2,-4.618333,36.538611
2021-01-07,1078I,-1.5,-3.104722,43.203333
2021-01-07,9208E,-7.8,-0.673056,42.708889
2021-01-07,0200E,1.8,2.124167,41.418333
2021-01-07,9019B,-6.8,-3.933889,42.806389
2021-01-07,2946X,-3.5,-6.6,40.635
2021-01-07,1549,-5.4,-6.6,42.563889
2021-01-07,3100B,-1.8,-3.546111,40.067222
2021-01-07,4147X,0.5,-3.391389,38.750556
2021-01-07,2400E,-7.6,-4.602778,41.995556
2021-01-07,5000C,11.3,-5.346944,35.888611
2021-01-07,9051,-4.7,-3.482778,42.92
2021-01-07,7275C,0.4,-1.159722,38.601667
2021-01-07,2298,-11.5,-3.131667,41.959722
2021-01-07,3168D,-2.2,-3.15,40.630278
2021-01-07,9585,-9.8,1.939444,42.3325
2021-01-07,2462,-9.4,-4.010556,40.793056
2021-01-07,2630X,-13.7,-5.376944,43.062222
2021-01-07,B278,3.9,2.736667,39.560833
2021-01-07,3298X,-1.7,-4.350556,39.546944
2021-01-07,4244X,1.2,-5.062222,39.169444
2021-01-07,2539,-6.2,-4.855556,41.711944
2021-01-07,7178I,4.7,-1.170833,38.001944
2021-01-07,2444,-6.8,-4.68,40.659167
2021-01-07,6302A,1.1,-2.78,37.141389
2021-01-07,3196,-0.4,-3.786111,40.375556
2021-01-07,2030,-8.1,-2.483056,41.775
2021-01-07,4560Y,4.2,-6.675,37.868611
2021-01-07,1050J,-1.9,-2.413333,43.209444
2021-01-07,0149X,-3.3,1.840278,41.72
2021-01-07,8309X,0,-1.244722,39.575556
2021-01-07,1393,4.2,-9.210833,43.160556
2021-01-07,1495,-2,-8.623889,42.238611
2021-01-07,1249X,-1.5,-5.874167,43.353333
2021-01-07,6155A,8.3,-4.482222,36.666111
2021-01-07,3576X,0,-7.231111,39.414722
2021-01-07,2870,-3.3,-5.662222,40.9575
2021-01-07,9201K,-9.1,-0.546944,42.578889
2021-01-07,1351,4.5,-7.684722,43.786111
2021-01-07,3266A,-7.4,-4.141944,40.706389
2021-01-07,1631E,-7.7,-7.2825,42.339444
2021-01-07,7012C,6.3,-0.987778,37.601111
2021-01-07,1057B,3.7,-2.752778,43.453889
2021-01-07,3338,-3.2,-4.25,40.427778000000004
2021-01-07,2374X,-5.2,-4.617222,42.350833
2021-01-07,1484C,-0.8,-8.615833,42.438333
2021-01-07,0252D,3.2,2.54,41.5875
2021-01-07,5911A,3.2,-5.374167,36.760556
2021-01-07,1428,-3.3,-8.410556,42.888056
2021-01-07,0201D,4.1,2.2,41.390556
2021-01-07,9091O,-5.9,-2.735,42.881944
2021-01-07,3365A,-1.3,-4.863611,39.958611
2021-01-07,5298X,4.3,-4.063333,38.023056
2021-01-07,6000A,11.3,-2.956389,35.276389
2021-01-07,5973,8.4,-6.257778,36.499722
2021-01-07,2916A,-5.2,-6.437778,41.011389
2021-01-07,2150H,-10.2,-3.475278,41.191944
2021-01-07,9771C,-4.1,0.598056,41.626111
2021-01-07,9390,-4.1,-1.41,41.114444
2021-01-07,2614,-5.5,-5.735278,41.515556
2021-01-07,1208H,2.1,-5.700833,43.56
2021-01-07,1037Y,-5.7,-2.3175,43.08
2021-01-07,4511C,4.1,-6.765,38.298611
2021-01-07,9001D,-17.5,-4.160556,42.991944
2021-01-07,8096,-0.5,-2.131944,40.067222
2021-01-07,6325O,7.1,-2.356944,36.846389
2021-01-07,1542,-12.6,-6.414167,42.994167
2021-01-07,1111X,2.5,-3.800556,43.491111
2021-01-07,4642E,7.4,-6.911667,37.278333
2021-01-07,2422,-4.5,-4.754444,41.640833
2021-01-07,5910,7.2,-6.3325,36.638889
2021-01-07,9091R,-6.2,-2.732778,42.871944
2021-01-07,4549Y,8,-7.395,37.194722
2021-01-07,3130C,-8.6,-2.618056,41.086389
2021-01-07,2737E,-9.3,-6.196667,42.3775
2021-01-07,1210X,2,-5.848611,43.655833
2021-01-07,B954,6.9,1.384444,38.876389
2021-01-07,3469A,0.4,-6.338889,39.471389
2021-01-07,8050X,6.6,0.167778,38.783611
2021-01-07,9262,-4.6,-1.638333,42.817778
2021-01-07,6001,10.1,-5.598889,36.013889
2021-01-07,9263D,-6.4,-1.65,42.776944
2021-01-07,3044X,-3.5,-2.15,40.530278
2021-01-07,3195,-0.6,-3.678056,40.411944
2021-01-07,B893,5.1,4.215556,39.854722
2021-01-07,9573X,-3.5,-0.141667,41.058056
2021-01-07,7119B,0.4,-1.877222,38.1025
2021-01-07,0255B,1.9,2.696944,41.650833
2021-01-07,5612B,4.9,-4.77,37.194444
2021-01-08,4358X,2.9,-5.880556,38.955556
2021-01-08,4220X,0.9,-4.616389,39.088611
2021-01-08,6106X,5.8,-4.748333,37.029444
2021-01-08,9698U,-6.4,0.865278,42.205278
